20230704	09:32:45	20278bf3-15f8-4b5e-8fae-ce8c959a5cf7	/	GET
20230704	09:32:45	416408ad-c514-4fb1-b0d6-ebc8aaf152b5	/img/image.png	GET
20230704	09:32:47	73ddde30-3bd0-4bb4-8e15-ee7984500edf	/favicon.ico	GET
20230704	11:05:58	63bdd539-1c63-4635-a170-361b12b9682b	/	GET
20230704	11:06:01	9cea7bfe-8aaa-4521-beb1-76d033e5e44c	/img/image.png	GET
20230704	11:06:02	afa57c92-f142-4984-82f8-ede942430d55	/favicon.ico	GET
20230704	11:08:01	4afea82c-ac4a-4b0a-80a7-d22b92939049	/	GET
20230704	11:08:01	9d129e02-f308-4f7a-8e7b-98375a0178cf	/img/image.png	GET
20230704	11:08:07	39bb2496-a28f-45d3-9464-24071130948a	/	GET
20230704	11:08:07	48dcaa4b-24fd-44f2-be09-0ac11125f4f6	/img/image.png	GET
20230704	11:09:22	2adcd722-1bce-400c-ac54-5f0a398cd599	/	GET
20230704	11:09:23	90494981-8f29-4537-9eff-43f0d0d94ced	/img/image.png	GET
20230704	11:19:57	5723fabd-7898-4567-b2da-93cbfd3d3012	/	GET
20230704	11:19:58	13fd3759-e49f-4be9-a2aa-9f30b6c76c45	/css/style.css	GET
20230704	11:19:58	278d1802-02b2-489c-aa44-585c90c68011	/img/image.png	GET
20230704	11:22:11	9c1debe2-391d-4e7d-9beb-2036ef4ce956	/defe	GET
20230707	07:08:55	74b9f0bf-e0bf-4432-b982-e2f790177115	GET	undefined	/
20230707	07:08:55	8cbb283d-7f6d-4bca-9fb5-d43d936c14d1	GET	undefined	/css/style.css
20230707	07:08:55	21c48b98-7378-476c-88c6-65ecf192caed	GET	undefined	/img/image.png
20230707	07:11:51	5790c728-c60f-4fa3-ae37-dfd00efa67ca	GET	undefined	/
20230707	07:11:51	7bcc8e93-0749-4d28-97f9-1f91e5c5c926	GET	undefined	/css/style.css
20230707	07:11:51	21a573dc-fb9b-468d-9714-719520a90eb3	GET	undefined	/img/image.png
20230708	16:33:04	8f030ab5-89b7-4ff3-9fa1-fd064d14625f	GET	undefined	/
20230708	16:33:05	cd84104f-eb9d-4fdd-8dd2-301f75db513f	GET	undefined	/img/image.png
20230708	16:33:05	4f534840-6241-46c9-a4f2-7ce9c702ae88	GET	undefined	/css/style.css
20230708	16:33:05	f84504aa-d7e5-40f0-8ce6-fda28df56425	GET	undefined	/favicon.ico
20230708	16:33:39	38fa47bb-997a-42aa-851d-2147a10d840d	GET	undefined	/subdir
20230708	16:35:10	d1fc9a6d-0103-400d-a2af-e3d9aaac227d	GET	undefined	/subdir
20230708	16:44:37	8c102ecf-2447-4705-bff5-2335403f9925	GET	undefined	/subdir
20230708	16:44:44	9ab4dcb0-3e55-4c54-9101-7ab4df4daa3d	GET	undefined	/subdir/test
